Aux out [V]	Aux in [V]	PDH out [a.u.]
-2.4218E-1	4.2924E-1	-8.5100E+2
-2.4182E-1	4.2948E-1	-8.8200E+2
-2.4147E-1	4.3045E-1	-8.1300E+2
-2.4112E-1	4.3264E-1	-9.2100E+2
-2.4076E-1	4.3410E-1	-1.4400E+2
-2.4053E-1	4.3361E-1	-5.5000E+2
-2.4018E-1	4.3458E-1	-5.1400E+2
-2.3982E-1	4.3604E-1	-3.2500E+2
-2.3947E-1	4.3531E-1	-9.8800E+2
-2.3912E-1	4.3896E-1	-4.9100E+2
-2.3888E-1	4.3920E-1	-5.5200E+2
-2.3853E-1	4.4090E-1	-4.9300E+2
-2.3818E-1	4.4163E-1	-6.5300E+2
-2.3782E-1	4.4236E-1	-9.0200E+2
-2.3747E-1	4.4187E-1	-7.1000E+2
-2.3712E-1	4.4454E-1	-4.7000E+2
-2.3688E-1	4.4722E-1	-9.6900E+2
-2.3653E-1	4.4600E-1	-9.6600E+2
