Aux out [V]	Aux in [V]	PDH out [a.u.]
-8.9459E-2	1.0463E+0	-8.0600E+2
-8.8518E-2	1.0453E+0	-6.8400E+2
-8.7459E-2	1.0451E+0	-7.0300E+2
-8.6518E-2	1.0443E+0	-3.3500E+2
-8.5577E-2	1.0456E+0	-4.6600E+2
-8.4635E-2	1.0460E+0	-1.0800E+3
-8.3694E-2	1.0460E+0	4.1000E+1
-8.2518E-2	1.0456E+0	-5.8200E+2
-8.1576E-2	1.0463E+0	5.3000E+1
-8.0635E-2	1.0473E+0	-7.5000E+2
-7.9694E-2	1.0458E+0	1.8000E+2
-7.8753E-2	1.0439E+0	-4.2800E+2
-7.7811E-2	1.0456E+0	-7.2800E+2
-7.6752E-2	1.0453E+0	-8.9600E+2
-7.5811E-2	1.0443E+0	-8.1700E+2
-7.4870E-2	1.0436E+0	-1.0850E+3
-7.3929E-2	1.0458E+0	-7.7100E+2
-7.2988E-2	1.0448E+0	-5.6000E+2
-7.1929E-2	1.0448E+0	-6.8600E+2
-7.0987E-2	1.0451E+0	-7.0300E+2
-7.0046E-2	1.0456E+0	-4.0100E+2
-6.9105E-2	1.0441E+0	-4.0900E+2
-6.8164E-2	1.0453E+0	-7.2200E+2
-6.7105E-2	1.0456E+0	-1.0940E+3
-6.6046E-2	1.0443E+0	-3.0000E+1
-6.5105E-2	1.0429E+0	-7.5700E+2
-6.4163E-2	1.0436E+0	3.9000E+1
-6.3222E-2	1.0441E+0	-5.0100E+2
-6.2163E-2	1.0436E+0	-7.1600E+2
-6.1222E-2	1.0426E+0	-5.8300E+2
-6.0281E-2	1.0446E+0	-4.0400E+2
-5.9339E-2	1.0451E+0	-6.6400E+2
-5.8398E-2	1.0436E+0	-5.0700E+2
-5.7339E-2	1.0422E+0	-4.5200E+2
-5.6398E-2	1.0434E+0	-7.6700E+2
-5.5457E-2	1.0429E+0	-2.7400E+2
-5.4516E-2	1.0441E+0	-5.1800E+2
-5.3574E-2	1.0439E+0	-3.8400E+2
-5.2633E-2	1.0453E+0	-5.1700E+2
-5.1574E-2	1.0424E+0	-6.0900E+2
-5.0633E-2	1.0439E+0	-7.0200E+2
-4.9574E-2	1.0436E+0	-6.7700E+2
-4.8633E-2	1.0439E+0	-7.2900E+2
-4.7691E-2	1.0434E+0	-5.2300E+2
-4.6633E-2	1.0441E+0	-5.0100E+2
-4.5691E-2	1.0439E+0	-5.4800E+2
-4.4750E-2	1.0431E+0	-6.7500E+2
-4.3809E-2	1.0422E+0	-9.8800E+2
-4.2868E-2	1.0436E+0	-1.3300E+2
-4.1809E-2	1.0417E+0	-6.6800E+2
-4.0867E-2	1.0429E+0	1.3600E+2
-3.9926E-2	1.0422E+0	-6.5700E+2
-3.8985E-2	1.0429E+0	-1.5200E+2
-3.8044E-2	1.0412E+0	-3.8500E+2
-3.6985E-2	1.0412E+0	-6.2000E+2
-3.6044E-2	1.0434E+0	-3.6400E+2
-3.5102E-2	1.0422E+0	-7.1000E+2
-3.4161E-2	1.0422E+0	-5.6700E+2
-3.3102E-2	1.0424E+0	-4.3000E+2
-3.2043E-2	1.0417E+0	-3.7700E+2
-3.1102E-2	1.0439E+0	-5.9400E+2
-3.0161E-2	1.0419E+0	-4.6600E+2
-2.9220E-2	1.0424E+0	-6.3000E+2
-2.8278E-2	1.0426E+0	-7.2000E+1
-2.7337E-2	1.0417E+0	-9.2500E+2
-2.6278E-2	1.0422E+0	-4.2100E+2
-2.5337E-2	1.0414E+0	-5.9500E+2
-2.4396E-2	1.0417E+0	-3.3900E+2
-2.3454E-2	1.0409E+0	-8.2300E+2
-2.2513E-2	1.0419E+0	-3.8900E+2
-2.1454E-2	1.0429E+0	-6.1100E+2
-2.0513E-2	1.0434E+0	-3.8700E+2
-1.9572E-2	1.0405E+0	-4.8000E+2
-1.8630E-2	1.0405E+0	-8.4800E+2
-1.7689E-2	1.0422E+0	-2.3500E+2
-1.6513E-2	1.0400E+0	-1.2350E+3
-1.5571E-2	1.0417E+0	-6.9600E+2
-1.4630E-2	1.0405E+0	-5.8400E+2
-1.3689E-2	1.0402E+0	-1.1200E+2
-1.2748E-2	1.0409E+0	-2.1900E+2
-1.1689E-2	1.0405E+0	-5.1700E+2
-1.0748E-2	1.0400E+0	-3.3200E+2
-9.8063E-3	1.0407E+0	-8.9200E+2
-8.8651E-3	1.0397E+0	-6.4700E+2
-7.9238E-3	1.0417E+0	-6.3400E+2
-6.8649E-3	1.0397E+0	-7.2600E+2
-5.9237E-3	1.0395E+0	-1.8300E+2
-4.9824E-3	1.0402E+0	-2.3100E+2
-4.0412E-3	1.0392E+0	-4.7000E+1
-3.0999E-3	1.0395E+0	-5.5000E+2
-2.1587E-3	1.0390E+0	-2.1300E+2
-9.8212E-4	1.0397E+0	-5.0700E+2
-4.0873E-5	1.0385E+0	-2.9800E+2
9.0037E-4	1.0385E+0	-6.0000E+1
1.8416E-3	1.0407E+0	-1.3040E+3
